exp,Amounts,Probability,Delay,Indifference
GMO_99_E1,500,0.95,0,411.86440699999997
GMO_99_E1,500,0.9,0,369.49152549999997
GMO_99_E1,500,0.7,0,249.15254249999998
GMO_99_E1,500,0.4,0,125.42372900000001
GMO_99_E1,500,0.1,0,58.5714285
GMO_99_E1,500,0.05,0,38.571428499999996
GMO_99_E1,10000,0.95,0,7525.42373
GMO_99_E1,10000,0.9,0,6644.0678
GMO_99_E1,10000,0.7,0,4135.59322
GMO_99_E1,10000,0.4,0,1898.30508
GMO_99_E1,10000,0.1,0,571.42857
GMO_99_E1,10000,0.05,0,371.42857000000004
GMO_99_E1,500,1,1,428.057554
GMO_99_E1,500,1,6,287.0503595
GMO_99_E1,500,1,12,232.37410050000003
GMO_99_E1,500,1,36,125.89928049999999
GMO_99_E1,500,1,60,88.4892085
GMO_99_E1,500,1,120,58.2733815
GMO_99_E1,10000,1,1,9251.79856
GMO_99_E1,10000,1,6,7784.17266
GMO_99_E1,10000,1,12,6402.8777
GMO_99_E1,10000,1,36,4014.38849
GMO_99_E1,10000,1,60,2748.20144
GMO_99_E1,10000,1,120,1395.68345
