exp,Amounts,Probability,Delay,Indifference
Myerson et al_03,200,0.95,0,168.4507042
Myerson et al_03,200,0.9,0,148.73239439999998
Myerson et al_03,200,0.7,0,105.915493
Myerson et al_03,200,0.33,0,47.887324
Myerson et al_03,200,0.25,0,38.3098592
Myerson et al_03,200,0.1,0,20.2816902
Myerson et al_03,200,0.05,0,11.830986000000001
Myerson et al_03,200,0.95,0,170.3496504
Myerson et al_03,200,0.9,0,155.8041958
Myerson et al_03,200,0.75,0,120
Myerson et al_03,200,0.5,0,76.3636364
Myerson et al_03,200,0.33,0,48.3916084
Myerson et al_03,200,0.1,0,24.335664400000002
Myerson et al_03,200,0.05,0,14.265734199999999
Myerson et al_03,200,1,1,176.5034966
Myerson et al_03,200,1,6,101.53846159999999
Myerson et al_03,200,1,12,87.55244760000001
Myerson et al_03,200,1,24,61.2587412
Myerson et al_03,200,1,60,37.2027972
Myerson et al_03,200,1,0.25,193.9310344
Myerson et al_03,200,1,1,180.137931
Myerson et al_03,200,1,6,148.13793099999998
Myerson et al_03,200,1,12,101.7931034
Myerson et al_03,200,1,36,64.27586199999999
Myerson et al_03,200,1,60,48.275862000000004
