Exp,x1,p1,t1,x2,p2,t2,N,k
CG16_E1,600,1,0,20,1,1,28,0
CG16_E1,600,1,0,40,1,1,28,0
CG16_E1,600,1,0,60,1,1,28,0
CG16_E1,600,1,0,80,1,1,28,0
CG16_E1,600,1,0,100,1,1,28,0
CG16_E1,600,1,0,120,1,1,28,0
CG16_E1,600,1,0,140,1,1,28,0
CG16_E1,600,1,0,160,1,1,28,0
CG16_E1,600,1,0,180,1,1,28,0
CG16_E1,600,1,0,200,1,1,28,0
CG16_E1,600,1,0,220,1,1,28,0
CG16_E1,600,1,0,240,1,1,28,1
CG16_E1,600,1,0,260,1,1,28,1
CG16_E1,600,1,0,280,1,1,28,1
CG16_E1,600,1,0,300,1,1,28,3
CG16_E1,600,1,0,320,1,1,28,4
CG16_E1,600,1,0,340,1,1,28,4
CG16_E1,600,1,0,360,1,1,28,4
CG16_E1,600,1,0,380,1,1,28,4
CG16_E1,600,1,0,400,1,1,28,6
CG16_E1,600,1,0,420,1,1,28,6
CG16_E1,600,1,0,440,1,1,28,9
CG16_E1,600,1,0,460,1,1,28,12
CG16_E1,600,1,0,480,1,1,28,16
CG16_E1,600,1,0,500,1,1,28,22
CG16_E1,600,1,0,520,1,1,28,24
CG16_E1,600,1,0,540,1,1,28,27
CG16_E1,600,1,0,560,1,1,28,28
CG16_E1,600,1,0,580,1,1,28,28
CG16_E1,600,1,0,20,1,1.67,28,0
CG16_E1,600,1,0,40,1,1.67,28,0
CG16_E1,600,1,0,60,1,1.67,28,0
CG16_E1,600,1,0,80,1,1.67,28,0
CG16_E1,600,1,0,100,1,1.67,28,0
CG16_E1,600,1,0,120,1,1.67,28,0
CG16_E1,600,1,0,140,1,1.67,28,0
CG16_E1,600,1,0,160,1,1.67,28,0
CG16_E1,600,1,0,180,1,1.67,28,0
CG16_E1,600,1,0,200,1,1.67,28,1
CG16_E1,600,1,0,220,1,1.67,28,1
CG16_E1,600,1,0,240,1,1.67,28,1
CG16_E1,600,1,0,260,1,1.67,28,1
CG16_E1,600,1,0,280,1,1.67,28,3
CG16_E1,600,1,0,300,1,1.67,28,6
