x1,x2,t2,LP,N
600,20,1,1,28
600,40,1,1,28
600,60,1,1,28
600,80,1,1,28
600,100,1,1,28
600,120,1,1,28
600,140,1,1,28
600,160,1,1,28
600,180,1,1,28
600,200,1,1,28
600,220,1,1,28
600,240,1,0.964,28
600,260,1,0.964,28
600,280,1,0.964,28
600,300,1,0.893,28
600,320,1,0.857,28
600,340,1,0.857,28
600,360,1,0.857,28
600,380,1,0.857,28
600,400,1,0.786,28
600,420,1,0.786,28
600,440,1,0.679,28
600,460,1,0.571,28
600,480,1,0.429,28
600,500,1,0.214,28
600,520,1,0.143,28
600,540,1,0.036,28
600,560,1,0,28
600,580,1,0,28
600,20,1.67,1,28
600,40,1.67,1,28
600,60,1.67,1,28
600,80,1.67,1,28
600,100,1.67,1,28
600,120,1.67,1,28
600,140,1.67,1,28
600,160,1.67,1,28
600,180,1.67,1,28
600,200,1.67,0.964,28
600,220,1.67,0.964,28
600,240,1.67,0.964,28
600,260,1.67,0.964,28
600,280,1.67,0.893,28
600,300,1.67,0.786,28
600,320,1.67,0.786,28
600,340,1.67,0.786,28
600,360,1.67,0.786,28
600,380,1.67,0.75,28
600,400,1.67,0.464,28
600,420,1.67,0.393,28
600,440,1.67,0.393,28
600,460,1.67,0.25,28
600,480,1.67,0.179,28
600,500,1.67,0.071,28
600,520,1.67,0.036,28
600,540,1.67,0.036,28
600,560,1.67,0,28
600,580,1.67,0,28
600,20,3.33,1,28
600,40,3.33,1,28
600,60,3.33,1,28
600,80,3.33,1,28
600,100,3.33,1,28
600,120,3.33,0.964,28
600,140,3.33,0.964,28
600,160,3.33,0.964,28
600,180,3.33,0.929,28
600,200,3.33,0.786,28
600,220,3.33,0.786,28
600,240,3.33,0.786,28
600,260,3.33,0.714,28
600,280,3.33,0.714,28
600,300,3.33,0.607,28
600,320,3.33,0.571,28
600,340,3.33,0.571,28
600,360,3.33,0.464,28
600,380,3.33,0.429,28
600,400,3.33,0.25,28
600,420,3.33,0.179,28
600,440,3.33,0.107,28
600,460,3.33,0.107,28
600,480,3.33,0.071,28
600,500,3.33,0,28
600,520,3.33,0,28
600,540,3.33,0,28
600,560,3.33,0,28
600,580,3.33,0,28
600,20,5,1,28
600,40,5,1,28
600,60,5,1,28
600,80,5,0.964,28
600,100,5,0.929,28
600,120,5,0.929,28
600,140,5,0.893,28
600,160,5,0.857,28
600,180,5,0.821,28
600,200,5,0.679,28
600,220,5,0.643,28
600,240,5,0.607,28
600,260,5,0.5,28
600,280,5,0.429,28
600,300,5,0.393,28
600,320,5,0.321,28
600,340,5,0.25,28
600,360,5,0.25,28
600,380,5,0.179,28
600,400,5,0.107,28
600,420,5,0.071,28
600,440,5,0.071,28
600,460,5,0.071,28
600,480,5,0.071,28
600,500,5,0.036,28
600,520,5,0.036,28
600,540,5,0,28
600,560,5,0,28
600,580,5,0,28
600,20,0.33,1,28
600,40,0.33,1,28
600,60,0.33,1,28
600,80,0.33,1,28
600,100,0.33,1,28
600,120,0.33,1,28
600,140,0.33,1,28
600,160,0.33,1,28
600,180,0.33,1,28
600,200,0.33,1,28
600,220,0.33,1,28
600,240,0.33,1,28
600,260,0.33,1,28
600,280,0.33,1,28
600,300,0.33,1,28
600,320,0.33,0.964,28
600,340,0.33,0.964,28
600,360,0.33,0.964,28
600,380,0.33,0.929,28
600,400,0.33,0.893,28
600,420,0.33,0.893,28
600,440,0.33,0.893,28
600,460,0.33,0.893,28
600,480,0.33,0.893,28
600,500,0.33,0.714,28
600,520,0.33,0.571,28
600,540,0.33,0.429,28
600,560,0.33,0.25,28
600,580,0.33,0.071,28
