x2,t2,x1,t1,LP,N
100,4,80,2,0.607,28
150,10,135,6,0.357,28
800,60,773,40,0.179,28
600,40,480,20,0.393,28
540,21,471,12,0.464,28
420,33,266,11,0.393,28
660,70,575,40,0.214,28
450,10,315,4,0.607,28
500,17,356,7,0.643,28
850,65,621,28,0.286,28
360,90,228,30,0.25,28
480,56,341,23,0.214,28
990,50,495,10,0.607,28
250,16,138,4,0.607,28
580,70,505,40,0.107,28
300,4,240,2,0.786,28
450,10,405,6,0.643,28
2400,60,2320,40,0.25,28
1800,40,1440,20,0.607,28
1620,21,1412,12,0.607,28
1260,33,798,11,0.536,28
1980,70,1725,40,0.357,28
1350,10,945,4,0.107,28
1500,17,1068,7,0.821,28
2550,65,1863,28,0.571,28
1080,90,684,30,0.429,28
1440,56,1023,23,0.357,28
2970,50,1485,10,0.643,28
750,16,413,4,0.607,28
1740,70,1516,40,0.214,28
300,20,75,5,0.786,28
450,40,281,25,0.5,28
400,80,350,70,0.571,28
600,90,267,40,0.536,28
900,80,315,28,0.571,28
260,55,156,33,0.429,28
330,69,215,45,0.321,28
430,20,301,14,0.75,28
450,50,90,10,0.714,28
650,9,72,1,0.821,28
800,84,533,56,0.393,28
410,95,293,68,0.5,28
780,38,411,20,0.714,28
640,50,320,25,0.536,28
250,72,104,30,0.357,28
900,20,225,5,0.964,28
1350,40,844,25,0.857,28
1200,80,1050,70,0.679,28
1800,90,800,40,0.75,28
2700,80,945,28,0.643,28
780,55,468,33,0.429,28
990,69,646,45,0.571,28
1290,20,903,14,0.821,28
1350,50,270,10,0.821,28
1950,9,217,1,0.929,28
2400,84,1600,56,0.536,28
1230,95,880,68,0.464,28
2340,38,1232,20,0.821,28
1920,50,960,25,0.893,28
750,72,313,30,0.536,28
700,40,315,30,0.857,28
600,80,195,50,0.75,28
400,20,20,7,0.929,28
550,31,83,14,0.893,28
400,60,147,40,0.821,28
150,20,15,8,1,28
650,55,219,35,0.75,28
480,90,69,40,0.75,28
540,28,243,21,0.821,28
600,65,198,41,0.893,28
850,42,312,28,0.786,28
670,33,164,18,0.821,28
460,81,225,64,0.536,28
530,18,47,7,0.964,28
280,34,40,15,0.857,28
2100,40,945,30,0.893,28
1800,80,585,50,0.893,28
1200,20,60,7,1,28
1650,31,250,14,1,28
1200,60,440,40,1,28
450,20,45,8,1,28
1950,55,656,35,1,28
1440,90,208,40,0.786,28
1620,28,729,21,0.964,28
1800,65,595,41,0.786,28
2550,42,935,28,0.964,28
2010,33,493,18,0.964,28
1380,81,676,64,0.821,28
1590,18,141,7,1,28
840,34,119,15,0.893,28
