Exp,x1,p1,t1,x2,p2,t2,N,y
CG16_E3,9,1,2,12,1,2.25,25,16
CG16_E3,7,1,1.75,9,1,2,25,19
CG16_E3,5,1,1.5,7,1,1.75,25,12
CG16_E3,5,1,1.5,12,1,2.25,25,10
CG16_E3,9.9,1,2,13.2,1,2.25,25,17
CG16_E3,7.7,1,1.75,9.9,1,2,25,21
CG16_E3,5.5,1,1.5,7.7,1,1.75,25,19
CG16_E3,5.5,1,1.5,13.2,1,2.25,25,6
CG16_E3,12.6,1,2,16.8,1,2.25,25,20
CG16_E3,9.8,1,1.75,12.6,1,2,25,22
CG16_E3,7,1,1.5,9.8,1,1.75,25,21
CG16_E3,7,1,1.5,16.8,1,2.25,25,10
CG16_E3,10.8,1,2,14.4,1,2.25,25,12
CG16_E3,8.4,1,1.75,10.8,1,2,25,15
CG16_E3,6,1,1.5,8.4,1,1.75,25,16
CG16_E3,6,1,1.5,14.4,1,2.25,25,9
CG16_E3,8.1,1,2,10.8,1,2.25,25,20
CG16_E3,6.3,1,1.75,8.1,1,2,25,21
CG16_E3,4.5,1,1.5,6.3,1,1.75,25,13
CG16_E3,4.5,1,1.5,10.8,1,2.25,25,9
CG16_E3,7.2,1,2,9.6,1,2.25,25,16
CG16_E3,5.6,1,1.75,7.2,1,2,25,19
CG16_E3,4,1,1.5,5.6,1,1.75,25,17
CG16_E3,4,1,1.5,9.6,1,2.25,25,8
CG16_E3,46,1,2,50,1,2.75,25,8
CG16_E3,42,1,1.5,46,1,2,25,8
CG16_E3,35,1,1,42,1,1.5,25,6
CG16_E3,35,1,1,50,1,2.75,25,19
CG16_E3,36.8,1,2,40,1,2.75,25,9
CG16_E3,33.6,1,1.5,36.8,1,2,25,9
CG16_E3,28,1,1,33.6,1,1.5,25,9
CG16_E3,28,1,1,40,1,2.75,25,19
CG16_E3,50.6,1,2,55,1,2.75,25,15
CG16_E3,46.2,1,1.5,50.6,1,2,25,12
CG16_E3,38.5,1,1,46.2,1,1.5,25,13
CG16_E3,38.5,1,1,55,1,2.75,25,20
CG16_E3,64.4,1,2,70,1,2.75,25,10
CG16_E3,58.8,1,1.5,64.4,1,2,25,8
CG16_E3,49,1,1,58.8,1,1.5,25,10
CG16_E3,49,1,1,70,1,2.75,25,25
CG16_E3,41.4,1,2,45,1,2.75,25,13
CG16_E3,37.8,1,1.5,41.4,1,2,25,6
CG16_E3,31.5,1,1,37.8,1,1.5,25,9
CG16_E3,31.5,1,1,45,1,2.75,25,20
CG16_E3,55.2,1,2,60,1,2.75,25,12
CG16_E3,50.4,1,1.5,55.2,1,2,25,9
CG16_E3,42,1,1,50.4,1,1.5,25,7
CG16_E3,42,1,1,60,1,2.75,25,20
