Exp,x1,p1,t1,x2,p2,t2,N,k
Erev02,55,0.77,0,90,0.24,0,38,36
Erev02,23,0.3,0,57,0.09,0,38,31
Erev02,1,0.75,0,69,0.45,0,38,8
Erev02,36,0.99,0,77,0.77,0,38,21
Erev02,13,0.87,0,45,0.19,0,38,35
Erev02,24,0.37,0,93,0.27,0,38,9
Erev02,35,0.63,0,67,0.08,0,38,37
Erev02,11,0.63,0,94,0.33,0,38,12
Erev02,29,0.64,0,45,0.25,0,38,33
Erev02,31,0.98,0,79,0.93,0,38,5
Erev02,62,0.69,0,82,0.53,0,38,28
Erev02,46,0.63,0,76,0.1,0,38,36
Erev02,37,0.66,0,42,0.19,0,38,38
Erev02,37,0.32,0,86,0.08,0,38,34
Erev02,81,0.76,0,87,0.69,0,38,31
Erev02,84,0.87,0,90,0.04,0,38,37
Erev02,13,0.99,0,68,0.7,0,38,22
Erev02,77,0.49,0,98,0.17,0,38,33
Erev02,13,0.93,0,21,0.75,0,38,28
Erev02,66,0.98,0,81,0.88,0,38,28
Erev02,59,0.99,0,68,0.15,0,38,37
Erev02,32,0.66,0,37,0.11,0,38,36
Erev02,51,0.55,0,70,0.12,0,38,36
Erev02,21,0.35,0,48,0.34,0,38,4
Erev02,52,0.79,0,98,0.06,0,38,35
Erev02,33,0.47,0,69,0.08,0,38,36
Erev02,2,0.69,0,70,0.47,0,38,6
Erev02,35,0.61,0,82,0.31,0,38,27
Erev02,10,0.95,0,52,0.91,0,38,7
Erev02,23,0.25,0,83,0.05,0,38,29
Erev02,75,0.24,0,76,0.08,0,38,35
Erev02,55,0.44,0,82,0.12,0,38,33
Erev02,78,0.99,0,93,0.44,0,38,37
Erev02,28,0.51,0,65,0.48,0,38,9
Erev02,9,1,0,55,0.86,0,38,13
Erev02,43,1,0,79,0.87,0,38,21
Erev02,5,0.12,0,95,0.03,0,38,11
Erev02,52,0.45,0,74,0.04,0,38,37
Erev02,7,0.92,0,10,0.36,0,38,36
Erev02,7,0.54,0,43,0.05,0,38,29
Erev02,58,0.9,0,70,0.06,0,38,35
Erev02,62,0.79,0,80,0.49,0,38,36
Erev02,21,0.46,0,86,0.38,0,38,10
Erev02,51,0.96,0,94,0.28,0,38,35
Erev02,33,0.39,0,78,0.05,0,38,34
Erev02,3,0.66,0,11,0.12,0,38,35
Erev02,36,0.79,0,44,0.11,0,38,38
Erev02,91,0.76,0,98,0.02,0,38,38
Erev02,74,0.82,0,95,0.5,0,38,33
Erev02,9,0.82,0,29,0.39,0,38,22
Erev02,84,0.57,0,94,0.01,0,38,37
Erev02,38,0.81,0,49,0.58,0,38,33
Erev02,18,0.74,0,69,0.3,0,38,28
Erev02,58,0.87,0,61,0.51,0,38,36
Erev02,24,0.77,0,48,0.03,0,38,37
Erev02,53,0.97,0,58,0.51,0,38,35
Erev02,51,0.93,0,81,0.59,0,38,32
Erev02,52,0.89,0,81,0.2,0,38,36
Erev02,55,0.96,0,88,0.19,0,38,35
Erev02,62,0.52,0,74,0.19,0,38,37
Erev02,84,0.94,0,100,0.32,0,38,34
Erev02,36,0.68,0,41,0.56,0,38,33
Erev02,67,0.73,0,68,0.24,0,38,37
Erev02,5,0.82,0,97,0.54,0,38,6
Erev02,32,0.99,0,100,0.79,0,38,16
Erev02,7,0.84,0,32,0.27,0,38,24
Erev02,36,0.97,0,82,0.63,0,38,29
Erev02,23,1,0,70,0.83,0,38,14
Erev02,56,0.76,0,100,0.03,0,38,36
Erev02,83,0.67,0,85,0.46,0,38,36
Erev02,5,0.91,0,83,0.16,0,38,22
Erev02,19,0.86,0,88,0.74,0,38,8
Erev02,18,0.68,0,46,0.67,0,38,4
Erev02,57,0.72,0,71,0.14,0,38,36
Erev02,34,0.76,0,37,0.25,0,38,36
Erev02,82,0.1,0,98,0.03,0,38,27
Erev02,53,0.28,0,56,0.12,0,38,36
Erev02,6,0.49,0,77,0.21,0,38,12
Erev02,11,0.65,0,71,0.27,0,38,23
Erev02,34,0.32,0,44,0.23,0,38,29
Erev02,16,0.76,0,80,0.22,0,38,24
Erev02,52,0.72,0,85,0.3,0,38,35
Erev02,1,0.27,0,83,0.24,0,38,6
Erev02,30,0.97,0,42,0.31,0,38,38
Erev02,61,0.37,0,67,0.25,0,38,32
Erev02,39,0.66,0,86,0.16,0,38,37
Erev02,18,0.77,0,75,0.29,0,38,27
Erev02,83,0.15,0,93,0.02,0,38,35
Erev02,43,0.85,0,65,0.53,0,38,33
Erev02,34,0.7,0,72,0.34,0,38,23
Erev02,51,0.8,0,90,0.27,0,38,25
Erev02,21,0.26,0,25,0.21,0,38,24
Erev02,8,0.78,0,61,0.68,0,38,4
Erev02,43,0.81,0,61,0.25,0,38,37
Erev02,45,0.28,0,92,0.14,0,38,26
Erev02,38,0.99,0,49,0.38,0,38,37
Erev02,11,1,0,38,0.54,0,38,28
Erev02,30,0.56,0,31,0.46,0,38,34
Erev02,36,0.71,0,95,0.62,0,38,12
Erev02,39,0.29,0,74,0.28,0,38,6
Erev02,60,0.8,0,74,0.75,0,38,15
Erev02,88,0.8,0,89,0.43,0,38,32
Erev02,38,0.73,0,60,0.7,0,38,8
Erev02,88,0.89,0,98,0.33,0,38,38
Erev02,52,0.61,0,60,0.32,0,38,37
Erev02,20,0.59,0,96,0.15,0,38,26
