Exp,x1,p1,t1,x2,p2,t2,N,k
Ericson15,0.03,1,0,0.13,1,0.25,10,7
Ericson15,0.03,1,0,0.13,1,0.5,7,5
Ericson15,0.03,1,0,0.13,1,0.75,5,5
Ericson15,0.03,1,0.25,0.13,1,0.5,7,2
Ericson15,0.03,1,0.25,0.13,1,0.75,7,4
Ericson15,0.03,1,0.25,0.13,1,1,8,2
Ericson15,0.03,1,0.5,0.13,1,0.75,6,2
Ericson15,0.03,1,0.5,0.13,1,1,3,1
Ericson15,0.03,1,0.5,0.13,1,1.25,8,2
Ericson15,0.05,1,0,0.15,1,0.25,6,3
Ericson15,0.05,1,0,0.15,1,0.5,9,5
Ericson15,0.05,1,0,0.15,1,0.75,4,3
Ericson15,0.05,1,0.25,0.15,1,0.5,7,3
Ericson15,0.05,1,0.25,0.15,1,1,3,3
Ericson15,0.05,1,0.5,0.15,1,0.75,6,2
Ericson15,0.05,1,0.5,0.15,1,1,4,0
Ericson15,0.05,1,0.5,0.15,1,1.25,12,8
Ericson15,0.1,1,0,0.2,1,0.25,7,5
Ericson15,0.1,1,0,0.2,1,0.5,4,2
Ericson15,0.1,1,0,0.2,1,0.75,6,5
Ericson15,0.1,1,0.25,0.2,1,0.5,3,1
Ericson15,0.1,1,0.25,0.2,1,0.75,3,3
Ericson15,0.1,1,0.25,0.2,1,1,7,5
Ericson15,0.1,1,0.5,0.2,1,0.75,5,1
Ericson15,0.1,1,0.5,0.2,1,1,5,2
Ericson15,0.1,1,0.5,0.2,1,1.25,2,1
Ericson15,0.17,1,0,0.67,1,0.25,5,3
Ericson15,0.17,1,0,0.67,1,0.5,4,2
Ericson15,0.17,1,0,0.67,1,0.75,7,5
Ericson15,0.17,1,0.25,0.67,1,0.5,5,2
Ericson15,0.17,1,0.25,0.67,1,0.75,6,3
Ericson15,0.17,1,0.25,0.67,1,1,5,3
Ericson15,0.17,1,0.5,0.67,1,0.75,8,2
Ericson15,0.17,1,0.5,0.67,1,1,8,6
Ericson15,0.17,1,0.5,0.67,1,1.25,3,1
Ericson15,0.2,1,0,0.3,1,0.25,8,7
Ericson15,0.2,1,0,0.3,1,0.5,8,8
Ericson15,0.2,1,0,0.3,1,0.75,5,4
Ericson15,0.2,1,0.25,0.3,1,0.5,7,5
Ericson15,0.2,1,0.25,0.3,1,0.75,3,3
Ericson15,0.2,1,0.25,0.3,1,1,8,3
Ericson15,0.2,1,0.5,0.3,1,0.75,7,4
Ericson15,0.2,1,0.5,0.3,1,1,3,2
Ericson15,0.2,1,0.5,0.3,1,1.25,6,4
Ericson15,0.25,1,0,0.75,1,0.25,9,3
Ericson15,0.25,1,0,0.75,1,0.5,11,10
Ericson15,0.25,1,0,0.75,1,0.75,4,1
Ericson15,0.25,1,0.25,0.75,1,0.5,3,1
Ericson15,0.25,1,0.25,0.75,1,0.75,4,1
Ericson15,0.25,1,0.25,0.75,1,1,6,5
Ericson15,0.25,1,0.5,0.75,1,0.75,4,2
Ericson15,0.25,1,0.5,0.75,1,1,6,3
Ericson15,0.25,1,0.5,0.75,1,1.25,5,3
Ericson15,0.33,1,0,1.33,1,0.25,7,5
Ericson15,0.33,1,0,1.33,1,0.5,6,4
Ericson15,0.33,1,0,1.33,1,0.75,6,2
Ericson15,0.33,1,0.25,1.33,1,0.5,4,0
Ericson15,0.33,1,0.25,1.33,1,0.75,4,1
Ericson15,0.33,1,0.25,1.33,1,1,4,2
Ericson15,0.33,1,0.5,1.33,1,0.75,8,2
Ericson15,0.33,1,0.5,1.33,1,1,7,2
Ericson15,0.33,1,0.5,1.33,1,1.25,5,1
Ericson15,0.4,1,0,0.5,1,0.25,5,3
Ericson15,0.4,1,0,0.5,1,0.5,4,4
Ericson15,0.4,1,0,0.5,1,0.75,6,5
Ericson15,0.4,1,0.25,0.5,1,0.5,7,7
Ericson15,0.4,1,0.25,0.5,1,0.75,4,3
Ericson15,0.4,1,0.25,0.5,1,1,4,3
Ericson15,0.4,1,0.5,0.5,1,0.75,5,2
Ericson15,0.4,1,0.5,0.5,1,1,7,7
Ericson15,0.4,1,0.5,0.5,1,1.25,4,1
Ericson15,0.5,1,0,1,1,0.25,8,6
Ericson15,0.5,1,0,1,1,0.5,7,6
Ericson15,0.5,1,0,1,1,0.75,6,5
Ericson15,0.5,1,0.25,1,1,0.5,5,3
Ericson15,0.5,1,0.25,1,1,0.75,6,4
Ericson15,0.5,1,0.25,1,1,1,5,3
Ericson15,0.5,1,0.5,1,1,0.75,5,2
Ericson15,0.5,1,0.5,1,1,1,5,4
Ericson15,0.5,1,0.5,1,1,1.25,8,5
Ericson15,0.5,1,0,1.5,1,0.25,8,5
Ericson15,0.5,1,0,1.5,1,0.5,3,1
Ericson15,0.5,1,0,1.5,1,0.75,2,2
Ericson15,0.5,1,0.25,1.5,1,0.5,8,1
Ericson15,0.5,1,0.25,1.5,1,0.75,5,5
Ericson15,0.5,1,0.25,1.5,1,1,8,8
Ericson15,0.5,1,0.5,1.5,1,0.75,5,0
Ericson15,0.5,1,0.5,1.5,1,1,3,1
Ericson15,0.5,1,0.5,1.5,1,1.25,1,1
Ericson15,0.67,1,0,2.67,1,0.25,5,1
Ericson15,0.67,1,0,2.67,1,0.5,6,3
Ericson15,0.67,1,0,2.67,1,0.75,10,7
Ericson15,0.67,1,0.25,2.67,1,0.5,4,2
Ericson15,0.67,1,0.25,2.67,1,0.75,6,2
Ericson15,0.67,1,0.25,2.67,1,1,7,3
Ericson15,0.67,1,0.5,2.67,1,0.75,7,2
