Exp,x1,p1,t1,x2,p2,t2,N,k
GW1992,1.1,0.8,0,1.18,0.7,0,200,190
GW1992,4.69,0.25,0,8.88,0.15,0,200,112
GW1992,0.27,0.85,0,8.88,0.15,0,200,96
GW1992,0.27,0.85,0,4.69,0.25,0,200,84
GW1992,0.61,0.85,0,1.1,0.75,0,200,62
GW1992,0.79,0.3,0,7.4,0.2,0,200,22
GW1992,0.49,0.8,0,0.52,0.7,0,200,186
GW1992,2.08,0.25,0,3.95,0.15,0,200,144
GW1992,0.12,0.85,0,3.95,0.15,0,200,92
GW1992,0.12,0.85,0,2.08,0.25,0,200,82
GW1992,0.27,0.85,0,0.49,0.75,0,200,78
GW1992,0.35,0.3,0,3.29,0.2,0,200,16
GW2002,1,0.4,0,7,0.1,0,140,79
GW2002,3,0.4,0,9,0.1,0,140,114
GW2002,1,0.9,0,7,0.6,0,140,30
GW2002,3,0.9,0,9,0.6,0,140,24
