Exp,x1,x2,p1,p2,t1,t2,n,o
1992,1.1,1.18,0.8,0.7,0,0,200,0.95
1992,4.69,8.88,0.25,0.15,0,0,200,0.56
1992,0.27,8.88,0.85,0.15,0,0,200,0.48
1992,0.27,4.69,0.85,0.25,0,0,200,0.42
1992,0.61,1.1,0.85,0.75,0,0,200,0.31
1992,0.79,7.4,0.3,0.2,0,0,200,0.11
1992,0.49,0.52,0.8,0.7,0,0,200,0.93
1992,2.08,3.95,0.25,0.15,0,0,200,0.72
1992,0.12,3.95,0.85,0.15,0,0,200,0.46
1992,0.12,2.08,0.85,0.25,0,0,200,0.41
1992,0.27,0.49,0.85,0.75,0,0,200,0.39
1992,0.35,3.29,0.3,0.2,0,0,200,0.08
2002,1,7,0.4,0.1,0,0,140,0.564
2002,3,9,0.4,0.1,0,0,140,0.814
2002,1,7,0.9,0.6,0,0,140,0.214
2002,3,9,0.9,0.6,0,0,140,0.171
