Exp,x1,p1,t1,x2,p2,t2,N,k
Reeck17_E1,15.1,1,0,17.4,1,0.5,189,136
Reeck17_E1,15.7,1,0.5,18.8,1,1,190,118
Reeck17_E1,19.6,1,0.5,19.8,1,1,192,181
Reeck17_E1,18.5,1,0.5,22.2,1,1.5,192,145
Reeck17_E1,24.7,1,0,27.2,1,1,192,157
Reeck17_E1,27.8,1,0.5,28.1,1,1.5,193,177
Reeck17_E1,22.1,1,0,33.2,1,0.5,193,49
Reeck17_E1,33.3,1,0.5,34.3,1,1.5,192,172
Reeck17_E1,36.1,1,0,37.9,1,1,192,171
Reeck17_E1,27.1,1,0,40.7,1,1,192,51
Reeck17_E1,31.4,1,0,42.4,1,1,192,85
Reeck17_E1,42.5,1,0,42.9,1,0.5,193,177
Reeck17_E1,35.1,1,0.5,43.9,1,1,193,81
Reeck17_E1,42.9,1,0.5,44.2,1,1,191,151
Reeck17_E1,43.9,1,0,44.3,1,1,191,176
Reeck17_E1,33.6,1,0.5,45.4,1,1,193,54
Reeck17_E1,45.7,1,0,47.1,1,0.5,191,146
Reeck17_E1,42.4,1,0,48.8,1,1,192,131
Reeck17_E1,46.1,1,0,50.7,1,0.5,192,107
Reeck17_E1,48.7,1,0.5,51.1,1,1.5,189,152
Reeck17_E1,44.8,1,0.5,51.5,1,1.5,191,118
Reeck17_E1,52.5,1,0,55.1,1,0.5,191,144
Reeck17_E1,53.1,1,0.5,55.8,1,1,193,153
Reeck17_E1,51.3,1,0.5,56.4,1,1,191,118
Reeck17_E1,51.9,1,0.5,57.1,1,1.5,193,137
Reeck17_E1,43.5,1,0,58.7,1,0.5,191,44
Reeck17_E1,57.5,1,0,59.2,1,1,193,164
Reeck17_E1,54.9,1,0.5,63.1,1,1,192,88
Reeck17_E1,44.2,1,0.5,66.3,1,1.5,191,63
Reeck17_E1,55.3,1,0,69.1,1,0.5,191,46
Reeck17_E1,57.7,1,0,72.1,1,1,192,68
Reeck17_E1,62.1,1,0,74.5,1,1,193,95
Reeck17_E1,62.9,1,0,75.5,1,0.5,190,54
Reeck17_E1,56.2,1,0.5,75.9,1,1.5,193,62
Reeck17_E1,55.2,1,0.5,82.8,1,1,191,18
Reeck17_E1,68.3,1,0.5,85.4,1,1.5,190,63
