Exp,x1,p1,t1,x2,p2,t2,N,k
SRS14_E2,515,1,0.25,530,1,0.5,378,159
SRS14_E2,530,1,0.5,545,1,0.75,378,163
SRS14_E2,545,1,0.75,560,1,1,378,160
SRS14_E2,515,1,0.25,545,1,0.75,378,199
SRS14_E2,530,1,0.5,560,1,1,378,211
SRS14_E2,515,1,0.25,560,1,1,378,224
SRS14_E2,605,1,1.75,620,1,2,378,134
SRS14_E2,620,1,2,635,1,2.25,378,144
SRS14_E2,635,1,2.25,650,1,2.5,378,118
SRS14_E2,605,1,1.75,635,1,2.25,378,173
SRS14_E2,620,1,2,650,1,2.5,378,159
SRS14_E2,605,1,2.25,650,1,2.5,378,166
SRS14_E2,515,1,0.25,560,1,1,378,225
SRS14_E2,560,1,1,605,1,1.75,378,213
SRS14_E2,605,1,1.75,650,1,2.5,378,187
SRS14_E2,515,1,0.25,605,1,1.75,378,236
SRS14_E2,560,1,1,650,1,2.5,378,216
SRS14_E2,515,1,0.25,650,1,2.5,378,236
SRS14_E2,115,1,0.25,125,1,1,378,287
SRS14_E2,125,1,1,135,1,1.75,378,297
SRS14_E2,135,1,1.75,145,1,2.5,378,283
SRS14_E2,115,1,0.25,135,1,1.75,378,297
SRS14_E2,125,1,1,145,1,2.5,378,289
SRS14_E2,115,1,0.25,145,1,2.5,378,293
SRS14_E3,34,1,0,35,1,186,518,504
SRS14_E3,54,1,0,55,1,117,518,498
SRS14_E3,78,1,0,80,1,162,518,497
SRS14_E3,28,1,0,30,1,179,518,499
SRS14_E3,47,1,0,50,1,160,518,482
SRS14_E3,80,1,0,85,1,157,518,486
SRS14_E3,22,1,0,25,1,136,518,484
SRS14_E3,54,1,0,60,1,111,518,468
SRS14_E3,67,1,0,75,1,119,518,446
SRS14_E3,25,1,0,30,1,80,518,435
SRS14_E3,49,1,0,60,1,89,518,368
SRS14_E3,69,1,0,85,1,91,518,335
SRS14_E3,19,1,0,25,1,53,518,330
SRS14_E3,40,1,0,55,1,62,518,321
SRS14_E3,55,1,0,75,1,61,518,229
SRS14_E3,24,1,0,35,1,29,518,245
SRS14_E3,34,1,0,50,1,30,518,185
SRS14_E3,54,1,0,80,1,30,518,134
SRS14_E3,14,1,0,25,1,19,518,141
SRS14_E3,27,1,0,50,1,21,518,105
SRS14_E3,41,1,0,75,1,20,518,88
SRS14_E3,15,1,0,35,1,13,518,75
SRS14_E3,25,1,0,60,1,14,518,35
SRS14_E3,33,1,0,80,1,14,518,36
SRS14_E3,11,1,0,30,1,7,518,42
SRS14_E3,20,1,0,55,1,7,518,31
SRS14_E3,31,1,0,85,1,7,518,26
