Exp,x1,p1,t1,x2,p2,t2,N,y
SRS14_E3,34,1,0,35,1,6.2,518,504
SRS14_E3,54,1,0,55,1,3.9,518,498
SRS14_E3,78,1,0,80,1,5.4,518,497
SRS14_E3,28,1,0,30,1,5.966666666666667,518,499
SRS14_E3,47,1,0,50,1,5.333333333333333,518,482
SRS14_E3,80,1,0,85,1,5.233333333333333,518,486
SRS14_E3,22,1,0,25,1,4.533333333333333,518,484
SRS14_E3,54,1,0,60,1,3.7,518,468
SRS14_E3,67,1,0,75,1,3.966666666666667,518,446
SRS14_E3,25,1,0,30,1,2.6666666666666665,518,435
SRS14_E3,49,1,0,60,1,2.966666666666667,518,368
SRS14_E3,69,1,0,85,1,3.033333333333333,518,335
SRS14_E3,19,1,0,25,1,1.7666666666666666,518,330
SRS14_E3,40,1,0,55,1,2.066666666666667,518,321
SRS14_E3,55,1,0,75,1,2.033333333333333,518,229
SRS14_E3,24,1,0,35,1,0.9666666666666667,518,245
SRS14_E3,34,1,0,50,1,1,518,185
SRS14_E3,54,1,0,80,1,1,518,134
SRS14_E3,14,1,0,25,1,0.6333333333333333,518,141
SRS14_E3,27,1,0,50,1,0.7,518,105
SRS14_E3,41,1,0,75,1,0.6666666666666666,518,88
SRS14_E3,15,1,0,35,1,0.43333333333333335,518,75
SRS14_E3,25,1,0,60,1,0.4666666666666667,518,35
SRS14_E3,33,1,0,80,1,0.4666666666666667,518,36
SRS14_E3,11,1,0,30,1,0.23333333333333334,518,42
SRS14_E3,20,1,0,55,1,0.23333333333333334,518,31
SRS14_E3,31,1,0,85,1,0.23333333333333334,518,26
