Exp,Amounts,Probability,Delay,Indifferences
VGM_15_E1,800,1,60,552.0215633
VGM_15_E1,800,0.8,60,357.9514825
VGM_15_E1,800,0.4,60,153.0997305
VGM_15_E1,800,0.25,60,122.9110512
VGM_15_E1,800,0.1,60,73.31536388
VGM_15_E1,800,1,24,618.8679245
VGM_15_E1,800,0.8,24,426.9541779
VGM_15_E1,800,0.4,24,178.9757412
VGM_15_E1,800,0.25,24,140.1617251
VGM_15_E1,800,0.1,24,79.78436658
VGM_15_E1,800,1,6,722.3719677
VGM_15_E1,800,0.8,6,480.8625337
VGM_15_E1,800,0.4,6,198.3827493
VGM_15_E1,800,0.25,6,161.7250674
VGM_15_E1,800,0.1,6,79.78436658
VGM_15_E1,800,1,1,763.3423181
VGM_15_E1,800,0.8,1,513.2075472
VGM_15_E1,800,0.4,1,215.6334232
VGM_15_E1,800,0.25,1,142.3180593
VGM_15_E1,800,0.1,1,103.5040431
VGM_15_E1,800,0.8,0,545.5525606
VGM_15_E1,800,0.4,0,213.4770889
VGM_15_E1,800,0.25,0,153.0997305
VGM_15_E1,800,0.1,0,79.78436658
VGM_15_E2A,800,1,60,331.8454567
VGM_15_E2A,800,0.8,60,293.9667544
VGM_15_E2A,800,0.4,60,162.4806482
VGM_15_E2A,800,0.25,60,124.6019459
VGM_15_E2A,800,0.1,60,71.11522945
VGM_15_E2A,800,1,24,462.4320568
VGM_15_E2A,800,0.8,24,362.1529387
VGM_15_E2A,800,0.4,24,168.2799769
VGM_15_E2A,800,0.25,24,125.9353847
VGM_15_E2A,800,0.1,24,72.46222865
VGM_15_E2A,800,1,6,623.5476252
VGM_15_E2A,800,0.8,6,434.1315132
VGM_15_E2A,800,0.4,6,220.2027279
VGM_15_E2A,800,0.25,6,135.5225837
VGM_15_E2A,800,0.1,6,84.26881222
VGM_15_E2A,800,1,1,717.3267942
VGM_15_E2A,800,0.8,1,494.4843095
VGM_15_E2A,800,0.4,1,282.783949
VGM_15_E2A,800,0.25,1,184.7332557
VGM_15_E2A,800,0.1,1,93.367837
VGM_15_E2A,800,0.8,0,556.9163663
VGM_15_E2A,800,0.4,0,285.0485349
VGM_15_E2A,800,0.25,0,191.4546913
VGM_15_E2A,800,0.1,0,115.6882465
VGM_15_E2B,800,1,60,484.5714286
VGM_15_E2B,800,0.8,60,304
VGM_15_E2B,800,0.4,60,178.2857143
VGM_15_E2B,800,0.25,60,125.7142857
VGM_15_E2B,800,0.1,60,91.42857143
VGM_15_E2B,800,1,24,530.2857143
VGM_15_E2B,800,0.8,24,388.5714286
VGM_15_E2B,800,0.4,24,196.5714286
VGM_15_E2B,800,0.25,24,164.5714286
VGM_15_E2B,800,0.1,24,82.28571429
VGM_15_E2B,800,1,6,694.8571429
VGM_15_E2B,800,0.8,6,438.8571429
VGM_15_E2B,800,0.4,6,237.7142857
VGM_15_E2B,800,0.25,6,185.1428571
VGM_15_E2B,800,0.1,6,118.8571429
VGM_15_E2B,800,1,1,722.2857143
VGM_15_E2B,800,0.8,1,530.2857143
VGM_15_E2B,800,0.4,1,260.5714286
VGM_15_E2B,800,0.25,1,201.1428571
VGM_15_E2B,800,0.1,1,123.4285714
VGM_15_E2B,800,0.8,0,557.7142857
VGM_15_E2B,800,0.4,0,274.2857143
VGM_15_E2B,800,0.25,0,194.2857143
