choice,num,manipulation,eff
RvA,1,Mag,0.08571428571428574
RvA,1,Imm,-0.08571428571428574
RvA,1,Cert,-0.32857142857142857
RvA,2,Mag,-0.02857142857142858
RvA,2,Imm,0.0714285714285714
RvA,2,Cert,-0.32857142857142857
RvA,3,Mag,-0.05714285714285705
RvA,3,Imm,-0.042857142857142816
RvA,3,Cert,-0.19999999999999996
RvA,4,Mag,0
RvA,4,Imm,0.014285714285714235
RvA,4,Cert,-0.2571428571428572
RvA,5,Mag,-0.11428571428571432
RvA,5,Imm,-0.24285714285714288
RvA,5,Cert,-0.4
RvA,6,Mag,-0.02857142857142858
RvA,6,Imm,0.014285714285714346
RvA,6,Cert,-0.17142857142857143
RvA,7,Mag,-0.042857142857142816
RvA,7,Imm,-0.014285714285714235
RvA,7,Cert,-0.19999999999999996
RvA,8,Mag,-0.014285714285714346
RvA,8,Imm,-0.042857142857142816
RvA,8,Cert,-0.08571428571428574
RvA,9,Mag,0.11428571428571432
RvA,9,Imm,0.02857142857142858
RvA,9,Cert,-0.2
RvA,10,Mag,-0.09999999999999998
RvA,10,Imm,-0.02857142857142858
RvA,10,Cert,-0.31428571428571433
RvA,11,Mag,-0.08571428571428569
RvA,11,Imm,0.014285714285714235
RvA,11,Cert,-0.15714285714285714
RvA,12,Mag,0.12857142857142856
RvA,12,Imm,-0.09999999999999998
RvA,12,Cert,-0.11428571428571432
RvA,13,Mag,0
RvA,13,Imm,-0.042857142857142816
RvA,13,Cert,-0.14285714285714285
RvA,14,Mag,-0.02857142857142847
RvA,14,Imm,-0.05714285714285705
RvA,14,Cert,-0.09999999999999998
RvA,15,Mag,-0.0714285714285714
RvA,15,Imm,-0.014285714285714235
RvA,15,Cert,-0.09999999999999998
RvA,16,Mag,0.15714285714285714
RvA,16,Imm,0.11428571428571421
RvA,16,Cert,-0.2
DvA,1,Mag,-0.14285714285714285
DvA,1,Imm,-0.11428571428571427
DvA,1,Cert,0.08571428571428574
DvA,2,Mag,-0.1142857142857143
DvA,2,Imm,-0.1
DvA,2,Cert,-0.01428571428571429
DvA,3,Mag,-0.04285714285714287
DvA,3,Imm,-0.08571428571428572
DvA,3,Cert,0.2
DvA,4,Mag,-0.15714285714285714
DvA,4,Imm,-0.08571428571428569
DvA,4,Cert,0.05714285714285716
DvA,5,Mag,-0.1
DvA,5,Imm,0.07142857142857145
DvA,5,Cert,0.17142857142857143
DvA,6,Mag,-0.04285714285714287
DvA,6,Imm,0.01428571428571429
DvA,6,Cert,0.04285714285714287
DvA,7,Mag,-0.12857142857142856
DvA,7,Imm,-0.08571428571428572
DvA,7,Cert,0.14285714285714285
DvA,8,Mag,-0.057142857142857134
DvA,8,Imm,-0.028571428571428553
DvA,8,Cert,0.10000000000000003
DvA,9,Mag,-0.15714285714285714
DvA,9,Imm,-0.09999999999999998
DvA,9,Cert,0.04285714285714287
DvA,10,Mag,-0.12857142857142856
DvA,10,Imm,-0.17142857142857143
DvA,10,Cert,-0.02857142857142858
DvA,11,Mag,-0.12857142857142861
DvA,11,Imm,-0.08571428571428574
DvA,11,Cert,-0.11428571428571432
DvA,12,Mag,0
DvA,12,Imm,0
DvA,12,Cert,-0.014285714285714235
DvA,13,Mag,-0.08571428571428574
DvA,13,Imm,-0.18571428571428575
DvA,13,Cert,-0.05714285714285716
DvA,14,Mag,-0.1142857142857143
DvA,14,Imm,-0.02857142857142858
DvA,14,Cert,0
DvA,15,Mag,-0.15714285714285717
DvA,15,Imm,-0.04285714285714287
DvA,15,Cert,0
DvA,16,Mag,-0.08571428571428574
DvA,16,Imm,-0.05714285714285716
DvA,16,Cert,0.042857142857142816
DvR,1,Mag,-0.14285714285714285
DvR,1,Imm,-0.08571428571428569
DvR,1,Cert,0.2285714285714286
DvR,2,Mag,-0.18571428571428572
DvR,2,Imm,-0.10000000000000003
DvR,2,Cert,0.11428571428571427
DvR,3,Mag,-0.08571428571428572
DvR,3,Imm,-0.01428571428571429
DvR,3,Cert,0.14285714285714285
DvR,4,Mag,-0.10000000000000003
DvR,4,Imm,-0.01428571428571429
DvR,4,Cert,0.09999999999999998
DvR,5,Mag,-0.17142857142857143
DvR,5,Imm,-0.08571428571428572
DvR,5,Cert,-0.08571428571428572
DvR,6,Mag,0.042857142857142816
DvR,6,Imm,-0.02857142857142858
DvR,6,Cert,0.24285714285714288
DvR,7,Mag,-0.07142857142857145
DvR,7,Imm,-0.05714285714285716
DvR,7,Cert,0.09999999999999992
DvR,8,Mag,-0.08571428571428572
DvR,8,Imm,-0.12857142857142856
DvR,8,Cert,0.057142857142857134
DvR,9,Mag,-0.057142857142857134
DvR,9,Imm,0.04285714285714287
DvR,9,Cert,0.15714285714285714
DvR,10,Mag,-0.014285714285714277
DvR,10,Imm,-0.0857142857142857
DvR,10,Cert,0.15714285714285714
DvR,11,Mag,-0.08571428571428572
DvR,11,Imm,-0.1
DvR,11,Cert,0.15714285714285717
DvR,12,Mag,-0.028571428571428553
DvR,12,Imm,-0.042857142857142844
DvR,12,Cert,0.1142857142857143
DvR,13,Mag,-0.02857142857142858
DvR,13,Imm,-0.02857142857142858
DvR,13,Cert,0.1
DvR,14,Mag,0
DvR,14,Imm,-0.028571428571428574
DvR,14,Cert,0.057142857142857134
DvR,15,Mag,-0.09999999999999998
DvR,15,Imm,0.01428571428571429
DvR,15,Cert,0.2
DvR,16,Mag,-0.01428571428571429
DvR,16,Imm,0.1285714285714286
DvR,16,Cert,0.15714285714285717
RvAD,1,Mag,0.08571428571428574
RvAD,1,Imm,0.04285714285714293
RvAD,1,Cert,-0.17142857142857137
RvAD,2,Mag,0.05714285714285716
RvAD,2,Imm,-0.042857142857142816
RvAD,2,Cert,-0.24285714285714283
RvAD,3,Mag,0.1428571428571428
RvAD,3,Imm,0.02857142857142858
RvAD,3,Cert,-0.10000000000000003
RvAD,4,Mag,0.18571428571428572
RvAD,4,Imm,0.11428571428571421
RvAD,4,Cert,-0.2142857142857143
RvAD,5,Mag,-0.042857142857142816
RvAD,5,Imm,-0.0714285714285714
RvAD,5,Cert,-0.3571428571428571
RvAD,6,Mag,0.09999999999999998
RvAD,6,Imm,0.08571428571428563
RvAD,6,Cert,-0.30000000000000004
RvAD,7,Mag,0.18571428571428572
RvAD,7,Imm,0.08571428571428574
RvAD,7,Cert,0.05714285714285716
RvAD,8,Mag,0.1428571428571429
RvAD,8,Imm,0.20000000000000007
RvAD,8,Cert,-0.15714285714285708
RvAD,9,Mag,0.01428571428571429
RvAD,9,Imm,0.08571428571428574
RvAD,9,Cert,-0.12857142857142856
RvAD,10,Mag,-0.014285714285714235
RvAD,10,Imm,-0.05714285714285705
RvAD,10,Cert,-0.25714285714285706
RvAD,11,Mag,0.2285714285714286
RvAD,11,Imm,0.21428571428571425
RvAD,11,Cert,-0.08571428571428569
RvAD,12,Mag,0.04285714285714293
RvAD,12,Imm,-0.014285714285714235
RvAD,12,Cert,-0.2714285714285714
RvAD,13,Mag,0.12857142857142856
RvAD,13,Imm,0.05714285714285716
RvAD,13,Cert,0
RvAD,14,Mag,0.12857142857142856
RvAD,14,Imm,-0.08571428571428574
RvAD,14,Cert,-0.02857142857142858
RvAD,15,Mag,0
RvAD,15,Imm,-0.08571428571428574
RvAD,15,Cert,-0.20000000000000007
RvAD,16,Mag,0.07142857142857151
RvAD,16,Imm,-0.042857142857142816
RvAD,16,Cert,-0.3571428571428571
DvAR,1,Mag,-0.11428571428571427
DvAR,1,Imm,-0.07142857142857142
DvAR,1,Cert,0.14285714285714285
DvAR,2,Mag,-0.18571428571428572
DvAR,2,Imm,-0.2
DvAR,2,Cert,0.04285714285714287
DvAR,3,Mag,-0.08571428571428569
DvAR,3,Imm,-0.014285714285714263
DvAR,3,Cert,0.17142857142857143
DvAR,4,Mag,-0.14285714285714285
DvAR,4,Imm,-0.12857142857142856
DvAR,4,Cert,0.028571428571428553
DvAR,5,Mag,-0.042857142857142844
DvAR,5,Imm,-0.08571428571428572
DvAR,5,Cert,0.1142857142857143
DvAR,6,Mag,-0.11428571428571427
DvAR,6,Imm,-0.09999999999999999
DvAR,6,Cert,0.07142857142857142
DvAR,7,Mag,-0.11428571428571432
DvAR,7,Imm,0
DvAR,7,Cert,0.1285714285714285
DvAR,8,Mag,-0.17142857142857143
DvAR,8,Imm,-0.04285714285714287
DvAR,8,Cert,0.0714285714285714
DvAR,9,Mag,-0.07142857142857142
DvAR,9,Imm,-0.11428571428571428
DvAR,9,Cert,0.01428571428571429
DvAR,10,Mag,-0.08571428571428573
DvAR,10,Imm,-0.02857142857142858
DvAR,10,Cert,0.09999999999999998
DvAR,11,Mag,-0.07142857142857142
DvAR,11,Imm,-0.07142857142857142
DvAR,11,Cert,0.07142857142857142
DvAR,12,Mag,-0.12857142857142856
DvAR,12,Imm,-0.042857142857142844
DvAR,12,Cert,0
DvAR,13,Mag,-0.014285714285714284
DvAR,13,Imm,0.07142857142857142
DvAR,13,Cert,0.08571428571428572
DvAR,14,Mag,-0.14285714285714285
DvAR,14,Imm,-0.0714285714285714
DvAR,14,Cert,-0.08571428571428569
DvAR,15,Mag,-0.057142857142857134
DvAR,15,Imm,0.1142857142857143
DvAR,15,Cert,0.18571428571428575
DvAR,16,Mag,-0.02857142857142858
DvAR,16,Imm,0.0714285714285714
DvAR,16,Cert,0.05714285714285716
DRvA,1,Mag,0.02857142857142858
DRvA,1,Imm,-0.02857142857142858
DRvA,1,Cert,-0.014285714285714346
DRvA,2,Mag,0.02857142857142858
DRvA,2,Imm,-0.0714285714285714
DRvA,2,Cert,-0.0714285714285714
DRvA,3,Mag,-0.0714285714285714
DRvA,3,Imm,-0.042857142857142816
DRvA,3,Cert,-0.014285714285714235
DRvA,4,Mag,0.01428571428571429
DRvA,4,Imm,-0.01428571428571429
DRvA,4,Cert,0.2
DRvA,5,Mag,-0.05714285714285716
DRvA,5,Imm,-0.15714285714285714
DRvA,5,Cert,-0.09999999999999998
DRvA,6,Mag,0
DRvA,6,Imm,-0.19999999999999996
DRvA,6,Cert,-0.11428571428571432
DRvA,7,Mag,0.02857142857142858
DRvA,7,Imm,0.014285714285714235
DRvA,7,Cert,-0.08571428571428574
DRvA,8,Mag,0.02857142857142858
DRvA,8,Imm,0.05714285714285716
DRvA,8,Cert,-0.1428571428571428
DRvA,9,Mag,0.014285714285714346
DRvA,9,Imm,0.014285714285714346
DRvA,9,Cert,-0.0714285714285714
DRvA,10,Mag,0
DRvA,10,Imm,-0.02857142857142858
DRvA,10,Cert,-0.07142857142857151
DRvA,11,Mag,0
DRvA,11,Imm,-0.042857142857142816
DRvA,11,Cert,-0.05714285714285705
DRvA,12,Mag,-0.11428571428571432
DRvA,12,Imm,0.042857142857142816
DRvA,12,Cert,-0.17142857142857143
DRvA,13,Mag,0.12857142857142856
DRvA,13,Imm,-0.02857142857142858
DRvA,13,Cert,-0.17142857142857149
DRvA,14,Mag,0.0714285714285714
DRvA,14,Imm,0.14285714285714285
DRvA,14,Cert,0.057142857142857106
DRvA,15,Mag,-0.02857142857142858
DRvA,15,Imm,-0.05714285714285705
DRvA,15,Cert,-0.15714285714285714
DRvA,16,Mag,0.05714285714285716
DRvA,16,Imm,0.02857142857142858
DRvA,16,Cert,-0.17142857142857149
