ID,RvA.7.Base,RvA.8.Base,DvA.1.Base,DvA.2.Base,DvA.3.Base,DvA.4.Base,DvA.5.Base,DvA.6.Base,DvA.7.Base,DvA.8.Base,DvA.2.Imm,DvA.5.Imm,DvA.6.Imm,DvA.7.Imm,DvR.1.Base,DvR.5.Base,DvR.16.Base,DvR.5.Imm,DvR.16.Imm
7,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1
20,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1
32,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
36,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1
50,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1
64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
70,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
88,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
102,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1
