Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,HS80,1,1,0,100,0.01,0,41,8
Choice,HS80,10,1,0,1000,0.01,0,41,21
Choice,HS80,100,1,0,10000,0.01,0,41,28
Choice,SR14,0.25,1,0,2.5,0.1,0,569,137
Choice,SR14,2.5,1,0,25,0.1,0,569,171
Choice,SR14,25,1,0,250,0.1,0,569,324
Choice,SR14,250,1,0,2500,0.1,0,569,427
Choice,WC05_T4,2700,0.66,0,3000,0.33,0,445,187
Choice,WC05_T8,2700,1,0,3000,0.9,0,91,82
Choice,WC05_T8,2700,0.2,0,3000,0.18,0,91,63
Choice,GW1992,1.1,0.8,0,1.18,0.7,0,200,190
Choice,GW1992,4.69,0.25,0,8.88,0.15,0,200,112
Choice,GW1992,0.27,0.85,0,8.88,0.15,0,200,96
Choice,GW1992,0.27,0.85,0,4.69,0.25,0,200,84
Choice,GW1992,0.61,0.85,0,1.1,0.75,0,200,62
Choice,GW1992,0.79,0.3,0,7.4,0.2,0,200,22
Choice,GW1992,0.49,0.8,0,0.52,0.7,0,200,186
Choice,GW1992,2.08,0.25,0,3.95,0.15,0,200,144
Choice,GW1992,0.12,0.85,0,3.95,0.15,0,200,92
Choice,GW1992,0.12,0.85,0,2.08,0.25,0,200,82
Choice,GW1992,0.27,0.85,0,0.49,0.75,0,200,78
Choice,GW1992,0.35,0.3,0,3.29,0.2,0,200,16
Choice,GW2002,1,0.4,0,7,0.1,0,140,79
Choice,GW2002,3,0.4,0,9,0.1,0,140,114
Choice,GW2002,1,0.9,0,7,0.6,0,140,30
Choice,GW2002,3,0.9,0,9,0.6,0,140,24
Choice,Erev02,55,0.77,0,90,0.24,0,38,36
Choice,Erev02,23,0.3,0,57,0.09,0,38,31
Choice,Erev02,1,0.75,0,69,0.45,0,38,8
Choice,Erev02,36,0.99,0,77,0.77,0,38,21
Choice,Erev02,13,0.87,0,45,0.19,0,38,35
Choice,Erev02,24,0.37,0,93,0.27,0,38,9
Choice,Erev02,35,0.63,0,67,0.08,0,38,37
Choice,Erev02,11,0.63,0,94,0.33,0,38,12
Choice,Erev02,29,0.64,0,45,0.25,0,38,33
Choice,Erev02,31,0.98,0,79,0.93,0,38,5
Choice,Erev02,62,0.69,0,82,0.53,0,38,28
Choice,Erev02,46,0.63,0,76,0.1,0,38,36
Choice,Erev02,37,0.66,0,42,0.19,0,38,38
Choice,Erev02,37,0.32,0,86,0.08,0,38,34
Choice,Erev02,81,0.76,0,87,0.69,0,38,31
Choice,Erev02,84,0.87,0,90,0.04,0,38,37
Choice,Erev02,13,0.99,0,68,0.7,0,38,22
Choice,Erev02,77,0.49,0,98,0.17,0,38,33
Choice,Erev02,13,0.93,0,21,0.75,0,38,28
Choice,Erev02,66,0.98,0,81,0.88,0,38,28
Choice,Erev02,59,0.99,0,68,0.15,0,38,37
Choice,Erev02,32,0.66,0,37,0.11,0,38,36
Choice,Erev02,51,0.55,0,70,0.12,0,38,36
Choice,Erev02,21,0.35,0,48,0.34,0,38,4
Choice,Erev02,52,0.79,0,98,0.06,0,38,35
