X1,p1,t1,x1,p2,t2,x2,trial,choice,manipulation,num,theta_lw,theta_up
4,0.85,0,150,0.5,0,475,RvA.4.Base,RvA,Base,4,0,0.9
5,0.95,0,200,0.75,0,400,RvA.5.Base,RvA,Base,5,0,0.9
1,0.9,0,150,0.6,0,400,RvA.1.Base,RvA,Base,1,0,0.9
7,0.5,0,300,0.4,0,475,RvA.7.Base,RvA,Base,7,0.1,1
6,0.6,0,125,0.45,0,250,RvA.6.Base,RvA,Base,6,0.1,1
8,0.5,0,100,0.2,0,425,RvA.8.Base,RvA,Base,8,0.1,1
2,0.7,0,275,0.55,0,400,RvA.2.Base,RvA,Base,2,0.1,1
3,0.6,0,50,0.2,0,275,RvA.3.Base,RvA,Base,3,0.1,1
53,0.19,0,200,0.15,0,400,RvA.5.Cert,RvA,Cert,5,0.1,1
52,0.17,0,150,0.1,0,475,RvA.4.Cert,RvA,Cert,4,0.1,1
49,0.18,0,150,0.12,0,400,RvA.1.Cert,RvA,Cert,1,0.1,1
55,0.1,0,300,0.08,0,475,RvA.7.Cert,RvA,Cert,7,0.1,1
54,0.12,0,125,0.09,0,250,RvA.6.Cert,RvA,Cert,6,0.1,1
56,0.1,0,100,0.04,0,425,RvA.8.Cert,RvA,Cert,8,0.1,1
50,0.14,0,275,0.11,0,400,RvA.2.Cert,RvA,Cert,2,0.1,1
51,0.12,0,50,0.04,0,275,RvA.3.Cert,RvA,Cert,3,0.1,1
67,1,1,100,1,5,200,DvA.3.Base,DvA,Base,3,0,0.8
71,1,3,100,1,12,225,DvA.7.Base,DvA,Base,7,0,0.8
99,1,13,100,1,17,200,DvA.3.Imm,DvA,Imm,3,0,0.8
103,1,15,100,1,24,225,DvA.7.Imm,DvA,Imm,7,0,0.8
72,1,4,175,1,15,350,DvA.8.Base,DvA,Base,8,0,0.8
104,1,16,175,1,27,350,DvA.8.Imm,DvA,Imm,8,0,0.8
65,1,2,325,1,9,475,DvA.1.Base,DvA,Base,1,0,0.8
97,1,14,325,1,21,475,DvA.1.Imm,DvA,Imm,1,0,0.8
68,1,3,125,1,21,325,DvA.4.Base,DvA,Base,4,0,0.8
100,1,15,125,1,33,325,DvA.4.Imm,DvA,Imm,4,0,0.8
98,1,13,75,1,42,300,DvA.2.Imm,DvA,Imm,2,0.2,1
66,1,1,75,1,30,300,DvA.2.Base,DvA,Base,2,0.2,1
101,1,18,125,1,42,325,DvA.5.Imm,DvA,Imm,5,0.2,1
102,1,42,350,1,54,425,DvA.6.Imm,DvA,Imm,6,0.2,1
69,1,6,125,1,30,325,DvA.5.Base,DvA,Base,5,0.2,1
70,1,30,350,1,42,425,DvA.6.Base,DvA,Base,6,0.2,1
