trial,choice,manipulation,num,mean,trial_sort
RvA.11.Base,RvA,Base,11,0.45,1
RvA.1.Base,RvA,Base,1,0.55,2
RvA.7.Base,RvA,Base,7,0.5666666666666667,3
RvA.6.Base,RvA,Base,6,0.5833333333333334,4
RvA.16.Base,RvA,Base,16,0.6,5
RvA.15.Base,RvA,Base,15,0.6166666666666667,6
RvA.8.Base,RvA,Base,8,0.6333333333333333,7
RvA.4.Base,RvA,Base,4,0.65,8
RvA.12.Base,RvA,Base,12,0.65,9
RvA.9.Base,RvA,Base,9,0.6666666666666666,10
RvA.13.Base,RvA,Base,13,0.6666666666666666,11
RvA.3.Base,RvA,Base,3,0.6833333333333333,12
RvA.2.Base,RvA,Base,2,0.7,13
RvA.14.Base,RvA,Base,14,0.7,14
RvA.10.Base,RvA,Base,10,0.7333333333333333,15
RvA.5.Base,RvA,Base,5,0.75,16
DvA.3.Base,DvA,Base,3,0.16666666666666666,1
DvA.1.Base,DvA,Base,1,0.23333333333333334,2
DvA.7.Base,DvA,Base,7,0.25,3
DvA.10.Base,DvA,Base,10,0.2833333333333333,4
DvA.5.Base,DvA,Base,5,0.31666666666666665,5
DvA.8.Base,DvA,Base,8,0.31666666666666665,6
DvA.4.Base,DvA,Base,4,0.3333333333333333,7
DvA.6.Base,DvA,Base,6,0.35,8
DvA.2.Base,DvA,Base,2,0.36666666666666664,9
DvA.13.Base,DvA,Base,13,0.36666666666666664,10
DvA.14.Base,DvA,Base,14,0.38333333333333336,11
DvA.9.Base,DvA,Base,9,0.4,12
DvA.12.Base,DvA,Base,12,0.4,13
DvA.15.Base,DvA,Base,15,0.4,14
DvA.16.Base,DvA,Base,16,0.4166666666666667,15
DvA.11.Base,DvA,Base,11,0.4666666666666667,16
DvR.13.Base,DvR,Base,13,0.08333333333333333,1
DvR.14.Base,DvR,Base,14,0.08333333333333333,2
DvR.10.Base,DvR,Base,10,0.1,3
DvR.12.Base,DvR,Base,12,0.1,4
DvR.9.Base,DvR,Base,9,0.15,5
DvR.11.Base,DvR,Base,11,0.18333333333333332,6
DvR.8.Base,DvR,Base,8,0.23333333333333334,7
DvR.1.Base,DvR,Base,1,0.2833333333333333,8
DvR.16.Base,DvR,Base,16,0.2833333333333333,9
DvR.3.Base,DvR,Base,3,0.3,10
DvR.5.Base,DvR,Base,5,0.31666666666666665,11
DvR.2.Base,DvR,Base,2,0.35,12
DvR.4.Base,DvR,Base,4,0.36666666666666664,13
DvR.6.Base,DvR,Base,6,0.43333333333333335,14
DvR.7.Base,DvR,Base,7,0.43333333333333335,15
DvR.15.Base,DvR,Base,15,0.43333333333333335,16
RvAD.11.Base,RvAD,Base,11,0.5,1
RvAD.1.Base,RvAD,Base,1,0.5166666666666667,2
RvAD.9.Base,RvAD,Base,9,0.5166666666666667,3
RvAD.3.Base,RvAD,Base,3,0.55,4
RvAD.4.Base,RvAD,Base,4,0.55,5
RvAD.8.Base,RvAD,Base,8,0.6,6
RvAD.7.Base,RvAD,Base,7,0.6333333333333333,7
RvAD.10.Base,RvAD,Base,10,0.6333333333333333,8
RvAD.6.Base,RvAD,Base,6,0.65,9
RvAD.2.Base,RvAD,Base,2,0.6666666666666666,10
RvAD.13.Base,RvAD,Base,13,0.6833333333333333,11
RvAD.15.Base,RvAD,Base,15,0.7,12
RvAD.5.Base,RvAD,Base,5,0.75,13
RvAD.12.Base,RvAD,Base,12,0.7833333333333333,14
RvAD.14.Base,RvAD,Base,14,0.8,15
RvAD.16.Base,RvAD,Base,16,0.9166666666666666,16
DvAR.9.Base,DvAR,Base,9,0.08333333333333333,1
DvAR.13.Base,DvAR,Base,13,0.08333333333333333,2
DvAR.4.Base,DvAR,Base,4,0.18333333333333332,3
DvAR.6.Base,DvAR,Base,6,0.18333333333333332,4
DvAR.14.Base,DvAR,Base,14,0.2,5
DvAR.3.Base,DvAR,Base,3,0.21666666666666667,6
DvAR.12.Base,DvAR,Base,12,0.23333333333333334,7
DvAR.5.Base,DvAR,Base,5,0.25,8
DvAR.10.Base,DvAR,Base,10,0.25,9
DvAR.15.Base,DvAR,Base,15,0.25,10
DvAR.11.Base,DvAR,Base,11,0.2833333333333333,11
DvAR.1.Base,DvAR,Base,1,0.3,12
DvAR.8.Base,DvAR,Base,8,0.31666666666666665,13
DvAR.7.Base,DvAR,Base,7,0.35,14
DvAR.16.Base,DvAR,Base,16,0.35,15
DvAR.2.Base,DvAR,Base,2,0.38333333333333336,16
DRvA.14.Base,DRvA,Base,14,0.23333333333333334,1
DRvA.4.Base,DRvA,Base,4,0.43333333333333335,2
DRvA.1.Base,DRvA,Base,1,0.6166666666666667,3
DRvA.3.Base,DRvA,Base,3,0.6166666666666667,4
DRvA.5.Base,DRvA,Base,5,0.65,5
DRvA.12.Base,DRvA,Base,12,0.65,6
DRvA.11.Base,DRvA,Base,11,0.7,7
DRvA.16.Base,DRvA,Base,16,0.7,8
DRvA.7.Base,DRvA,Base,7,0.7333333333333333,9
DRvA.2.Base,DRvA,Base,2,0.8166666666666667,10
DRvA.6.Base,DRvA,Base,6,0.8333333333333334,11
DRvA.13.Base,DRvA,Base,13,0.8333333333333334,12
DRvA.8.Base,DRvA,Base,8,0.8666666666666667,13
DRvA.15.Base,DRvA,Base,15,0.9,14
DRvA.9.Base,DRvA,Base,9,0.9166666666666666,15
DRvA.10.Base,DRvA,Base,10,0.95,16
RvA.11.Mag,RvA,Mag,11,0.4166666666666667,1
RvA.7.Mag,RvA,Mag,7,0.5,2
RvA.15.Mag,RvA,Mag,15,0.5166666666666667,3
RvA.13.Mag,RvA,Mag,13,0.6,4
RvA.4.Mag,RvA,Mag,4,0.6166666666666667,5
RvA.8.Mag,RvA,Mag,8,0.6166666666666667,6
RvA.3.Mag,RvA,Mag,3,0.6333333333333333,7
RvA.6.Mag,RvA,Mag,6,0.6333333333333333,8
RvA.2.Mag,RvA,Mag,2,0.65,9
RvA.5.Mag,RvA,Mag,5,0.6666666666666666,10
RvA.10.Mag,RvA,Mag,10,0.6666666666666666,11
RvA.9.Mag,RvA,Mag,9,0.7,12
RvA.14.Mag,RvA,Mag,14,0.7,13
RvA.16.Mag,RvA,Mag,16,0.7166666666666667,14
RvA.12.Mag,RvA,Mag,12,0.75,15
RvA.1.Mag,RvA,Mag,1,0.7666666666666667,16
DvA.4.Mag,DvA,Mag,4,0.08333333333333333,1
DvA.1.Mag,DvA,Mag,1,0.13333333333333333,2
DvA.3.Mag,DvA,Mag,3,0.13333333333333333,3
DvA.7.Mag,DvA,Mag,7,0.15,4
DvA.10.Mag,DvA,Mag,10,0.2,5
DvA.5.Mag,DvA,Mag,5,0.25,6
DvA.8.Mag,DvA,Mag,8,0.25,7
DvA.14.Mag,DvA,Mag,14,0.25,8
DvA.15.Mag,DvA,Mag,15,0.26666666666666666,9
DvA.2.Mag,DvA,Mag,2,0.2833333333333333,10
DvA.9.Mag,DvA,Mag,9,0.2833333333333333,11
DvA.11.Mag,DvA,Mag,11,0.3,12
DvA.13.Mag,DvA,Mag,13,0.31666666666666665,13
DvA.16.Mag,DvA,Mag,16,0.31666666666666665,14
DvA.6.Mag,DvA,Mag,6,0.3333333333333333,15
DvA.12.Mag,DvA,Mag,12,0.4,16
DvR.14.Mag,DvR,Mag,14,0.05,1
DvR.13.Mag,DvR,Mag,13,0.06666666666666667,2
DvR.9.Mag,DvR,Mag,9,0.08333333333333333,3
DvR.10.Mag,DvR,Mag,10,0.08333333333333333,4
DvR.11.Mag,DvR,Mag,11,0.1,5
DvR.12.Mag,DvR,Mag,12,0.11666666666666667,6
DvR.1.Mag,DvR,Mag,1,0.13333333333333333,7
DvR.8.Mag,DvR,Mag,8,0.13333333333333333,8
DvR.5.Mag,DvR,Mag,5,0.15,9
DvR.2.Mag,DvR,Mag,2,0.2,10
DvR.16.Mag,DvR,Mag,16,0.21666666666666667,11
DvR.3.Mag,DvR,Mag,3,0.23333333333333334,12
DvR.4.Mag,DvR,Mag,4,0.3,13
DvR.7.Mag,DvR,Mag,7,0.31666666666666665,14
DvR.15.Mag,DvR,Mag,15,0.35,15
DvR.6.Mag,DvR,Mag,6,0.36666666666666664,16
RvAD.9.Mag,RvAD,Mag,9,0.48333333333333334,1
RvAD.1.Mag,RvAD,Mag,1,0.6333333333333333,2
RvAD.10.Mag,RvAD,Mag,10,0.65,3
RvAD.5.Mag,RvAD,Mag,5,0.6833333333333333,4
RvAD.8.Mag,RvAD,Mag,8,0.6833333333333333,5
RvAD.11.Mag,RvAD,Mag,11,0.6833333333333333,6
RvAD.15.Mag,RvAD,Mag,15,0.7,7
RvAD.3.Mag,RvAD,Mag,3,0.7333333333333333,8
RvAD.4.Mag,RvAD,Mag,4,0.7333333333333333,9
RvAD.6.Mag,RvAD,Mag,6,0.7333333333333333,10
RvAD.7.Mag,RvAD,Mag,7,0.75,11
