V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
70,63,73,63,64,49,61,72,59,55,50,66,65,68,60,74,59,55,46,61,59,55,56,55,68,48,50,62,48,47,51,41,35,52,52,63,18,71,58,27,24,39,34,26,24,22,48,37,62,71,80,66,64,72,78,70,50,69,53,74,81,78,75,63,52,60,41,29,37,37,75,52,24,25,28,35,35,27,31,36,70,80,72,59,68,69,76,76,73,71,60,52,80,47,61,65
70,66,70,64,65,59,55,69,59,62,49,72,58,74,62,65,66,70,43,62,68,61,53,57,66,40,50,59,43,53,48,39,28,45,40,68,18,55,51,24,18,34,17,16,28,13,41,31,65,74,79,69,72,73,80,74,55,69,59,74,83,81,59,61,57,69,42,23,33,30,70,51,29,16,20,34,25,20,24,40,76,76,66,56,69,69,69,75,76,85,59,56,84,42,54,72
62,63,73,69,58,50,54,66,58,64,53,75,68,78,58,62,54,64,40,60,57,50,47,55,63,33,50,62,43,52,53,38,34,53,47,66,11,54,66,27,14,31,20,20,15,15,38,35,62,70,77,62,74,71,79,66,44,68,47,84,80,72,69,64,48,61,49,20,42,25,70,48,20,14,27,28,41,21,23,43,67,73,66,56,62,65,61,73,71,88,57,55,89,36,68,59
63,59,67,71,59,58,52,61,65,58,52,68,48,73,63,62,65,74,52,69,59,52,60,65,67,48,52,66,43,51,57,42,39,50,39,57,17,60,42,19,24,30,19,23,33,23,55,41,65,77,82,73,75,82,73,74,50,71,56,68,76,71,61,65,57,61,46,37,48,37,74,51,38,24,24,32,39,22,29,46,73,76,76,71,72,67,72,75,65,79,61,59,74,50,61,72
62,57,71,65,53,47,59,64,59,59,50,71,63,71,58,62,51,63,57,66,57,59,49,63,61,45,53,55,54,48,46,45,38,47,52,55,17,55,52,26,22,33,23,34,22,18,54,32,56,71,68,67,69,73,72,61,44,64,52,72,93,73,71,60,49,58,39,34,33,27,67,43,27,20,34,36,30,28,32,44,66,70,64,57,68,72,66,70,72,73,52,53,87,44,66,65
65,61,63,58,58,46,56,61,61,53,49,68,49,77,53,60,55,58,51,61,62,55,59,58,63,51,52,59,54,54,48,37,35,44,38,53,18,61,45,24,16,31,21,25,20,25,51,44,60,70,71,63,69,71,74,63,43,61,50,76,80,76,65,61,51,60,47,29,29,42,65,44,31,21,31,23,40,35,23,39,69,78,67,52,68,67,69,70,77,75,59,48,81,44,63,53
64,67,70,63,70,52,61,71,59,61,51,65,49,75,52,63,64,62,51,65,70,49,51,58,68,51,50,58,47,55,45,52,33,52,51,56,11,60,46,23,16,33,20,24,22,22,49,42,62,69,80,67,68,83,79,76,45,74,50,72,78,75,74,64,59,64,45,34,42,26,67,48,27,14,30,28,39,26,23,39,73,74,70,53,68,71,70,75,68,79,64,54,85,39,66,64
59,53,76,65,50,54,52,65,56,55,51,72,54,77,58,65,62,59,47,62,53,51,51,50,60,46,45,59,41,52,45,48,34,51,41,58,13,70,44,27,19,25,27,26,19,20,41,33,62,69,76,70,66,77,77,73,36,62,56,73,85,79,77,64,47,54,48,25,38,25,70,53,31,25,27,33,47,25,22,41,71,77,60,50,60,61,72,73,78,80,63,49,85,40,67,59
65,65,73,66,71,57,49,66,67,64,46,71,55,74,57,66,64,67,48,66,61,55,55,62,76,49,58,54,51,44,59,50,29,49,37,58,14,63,46,22,22,29,23,24,16,16,50,40,68,79,83,75,72,80,86,70,44,72,57,75,81,85,70,70,51,63,42,28,46,38,75,47,27,19,26,38,36,37,20,47,71,82,69,53,69,64,74,81,78,85,68,54,83,53,62,66
69,68,75,66,59,50,51,73,54,67,45,76,58,80,56,61,47,65,54,56,63,57,54,60,61,43,44,60,50,51,46,41,37,56,41,62,14,60,55,21,12,30,22,28,25,20,41,40,61,74,79,74,68,70,83,65,51,66,55,70,81,76,68,61,46,58,39,23,34,23,69,48,35,16,22,29,30,20,21,40,64,69,66,60,56,65,76,75,82,80,57,46,87,44,64,59
